;BIN;New BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;;bw06;3,0067273402246397;1,6386666666666656;6;0,005569676704674521;29,266;-22,317;18,510779288475852;7,55699399967415
1;8;;bw06;3,532892699080975;37,24704761904762;21;0,07804085519728983;103,779;-24,972;33,95116313688853;7,408751190789813
2;9;;bw06;4,032683172734334;149,89089655172413;58;0,2111613625096096;301,565;51,017;53,22222707573775;6,988420786165267
3;10;;bw06;4,522658136860641;280,0360303030303;99;0,2796753155618309;400,833;133,698;58,704287933720785;5,9000029291254465
4;11;;bw06;5,002864855114095;431,639343137255;102;0,31848297159435773;622,424;294,776;63,697617530946275;6,307003949173439
5;12;;bw06;5,474634008319396;621,9824869565216;115;0,3502147160844982;834,536;409,727;75,87815989412688;7,075674894170065
6;13;;bw06;6,001959085162239;862,5450406504063;123;0,368573577698655;1116,822;630,934;90,93677944913324;8,199493270373283
7;14;;bw06;6,490357595731934;1135,8474945054948;91;0,383827118125519;1430,835;847,788;123,96061055498181;12,994602839557842
8;15;;bw06;7,00796449088796;1485,9967941176467;68;0,39889969306002193;1801,99;1115,981;149,15337601080194;18,08750363852952
9;16;;bw06;7,463305431340357;1880,607738095238;42;0,4179516850993134;2403,742;1690,647;152,4937212879496;23,53029204291619
10;17;;bw06;8,014648871426184;2376,315803571429;56;0,42645397109359856;2863,445;2051,579;183,9037382607265;24,575170739949602
11;18;;bw06;8,482243236305665;2893,1504000000004;50;0,4379861244659446;3447,032;2529,113;225,23573468194252;31,85314307182712
12;19;;bw06;8,983904893307184;3410,120697368421;76;0,4345060431655467;4109,167;2925,567;266,4603014280372;30,565092799742125
13;20;;bw06;9,480656565342;4092,499117647059;51;0,4437055469124844;4857,151;3508,234;360,20021455272047;50,43811867007906
14;21;;bw06;9,991376139979932;4673,299384615385;39;0,43288165838704734;5258,782;4149,62;296,6454241651769;47,50128410629676
15;22;;bw06;10,56027653455215;5461,816705882352;34;0,4284821714377368;5903,122;4836,4;287,39271854902984;49,28744461141787
16;23;;bw06;11,005366486340515;5974,354916666667;24;0,4140940575449011;6353,023;5546,276;251,68328533641605;51,37463548846025
17;24;;bw06;11,502728208918082;6237,428249999998;28;0,3786382600096696;6380,187;5814,238;140,89470868823497;26,626597159568657
18;25;;bw06;11,993308250694115;6366,353428571429;7;0,34095358738684817;6380,551;6322,179;21,336649064127137;8,064495319305633
19;26;;bw06;12,457650651063418;6368,8865000000005;8;0,3043522897180843;6381,163;6351,214;11,597857178929761;4,100461729227158
20;27;;bw06;13,001909010682116;6369,0470000000005;9;0,26771616420044564;6381,071;6345,966;13,636677582901156;4,5455591943003855
21;7;;bw08;3,1355401335624506;-0,1088333333333334;6;-0,00032617175214372923;14,889;-13,709;12,380283315282679;5,0542294989224406
22;8;;bw08;3,5690277637052756;48,78671428571429;28;0,09914556644564128;107,003;-7,282;31,861389533830057;6,021236652247892
23;9;;bw08;4,032620652769148;142,39327941176464;68;0,20060829634888405;290,026;-3,385;55,84226303785887;6,771869084665208
24;10;;bw08;4,521823648491092;271,9316601941748;103;0,2717317709293918;418,004;134,462;55,14610579491706;5,433707261647737
25;11;;bw08;5,01059253597434;427,97214;100;0,31431835613890863;585,542;302,182;66,61040744356984;6,661040744356984
26;12;;bw08;5,518499055289383;620,1529090909089;110;0,34092384288070465;865,806;450,788;83,79336179172329;7,989383569552917
27;13;;bw08;5,989755902386772;824,1106111111114;90;0,3543069252472809;1059,879;610,53;95,72810021104362;10,090627758258105
28;14;;bw08;6,497946157886586;1094,412093457944;107;0,3685310339111429;1383,68;876,87;118,51164516019549;11,456953175319288
29;15;;bw08;6,980695314258049;1420,0564374999994;64;0,3856835038891213;1704,39;1138,213;140,52211442895154;17,565264303618942
30;16;;bw08;7,53545339041576;1831,5336346153845;52;0,39546517237696377;2207,542;1552,847;157,50483705999397;21,84199100590035
31;17;;bw08;7,988714696164083;2252,826827586207;58;0,40824284583418;2690,571;1889,659;180,00999334706907;23,636470105506028
32;18;;bw08;8,495355987116634;2764,771796296296;54;0,4166161023776529;3198,572;2427,078;199,2420100774746;27,11340333423759
33;19;;bw08;9,019184327746808;3282,943492063492;63;0,4134120455589695;3784,732;2869,774;228,5445565512105;28,793907625335265
34;20;;bw08;9,506222842004233;3958,7498363636378;55;0,4257509188064033;4801,105;3424,069;277,4423943792965;37,410324826398856
35;21;;bw08;9,962628068592613;4418,6303947368415;38;0,41284538232047485;5118,803;3818,851;282,9711722473796;45,90398570100772
36;22;;bw08;10,527360321512079;5267,665000000001;27;0,41713938057913114;5913,396;4664,382;360,7186820682801;69,42034273128284
37;23;;bw08;10,993260668802927;5876,767519999999;25;0,40867722932563433;6277,196;5446,186;234,6906103680476;46,93812207360952
38;24;;bw08;11,469265049474231;6276,709684210527;19;0,38436760853679053;6379,335;5901,042;119,12787390682932;27,329808616774994
39;25;;bw08;11,921007174524357;6285,911722222222;18;0,3428079910568882;6380,006;5888,931;122,61798449839172;28,901336111413254
40;26;;bw08;12,529270481100511;6378,0498333333335;6;0,2995932754092189;6381,805;6366,891;5,719649584255103;2,335037164824491
41;27;;bw08;12,97240892453734;6367,7835;8;0,26949325863625884;6382,006;6350,263;12,345264135344909;4,364709992820733
42;28;;bw08;13,548427744925561;6366,8679999999995;5;0,2365269626672548;6380,057;6346,186;15,04212622936009;6,727043354996351
43;7;;bw09;3,1046320744906297;-14,621875000000001;8;-0,04514338850617136;1,398;-35,729;13,91178709314515;4,918559495993212
44;8;;bw09;3,540315126208894;33,018702702702704;37;0,06874731666357178;110,476;-25,925;34,95341450564743;5,746305947592823
45;9;;bw09;4,040170476003158;137,02910843373496;83;0,19197084102720105;267,241;11,851;48,81484304304754;5,358125123132997
46;10;;bw09;4,520639761626549;268,6370744680851;94;0,2686505629592656;409,676;155,665;54,84782437814559;5,657121137469035
47;11;;bw09;4,995311926625827;434,20452941176484;102;0,32183110742881316;603,854;271,632;66,92414069198433;6,626477347199356
48;12;;bw09;5,524529044935457;644,0348173076922;104;0,3528946467610152;862,107;454,275;80,54679992170077;7,89826354919627
49;13;;bw09;6,0132218311169865;874,5468760330574;121;0,3716061764281859;1130,643;672,291;107,12909192718308;9,739008357016644
50;14;;bw09;6,4735237911107575;1137,760486842105;76;0,38748073004619144;1458,082;898,224;120,78636773361399;13,855146597583296
51;15;;bw09;6,959361637330562;1424,096923076923;65;0,39034879325697974;1914,168;1160,491;146,81550705363472;18,210222450977646
52;16;;bw09;7,507190894311682;1860,2328727272732;55;0,40621545636409;2252,867;1542,467;176,19939180067544;23,75872114362446
53;17;;bw09;7,988928827084145;2289,6677111111107;45;0,4148855518486023;2658,425;1964,432;198,1121189172735;29,532811004369705
54;18;;bw09;8,50367313763507;2816,55772;50;0,4231754723470107;3300,837;2446,056;215,94383239459964;30,53906964832653
55;19;;bw09;8,995452081185036;3382,787436619719;71;0,42936558679397296;4237,289;2901,677;306,34983150102516;36,35703610161942
56;20;;bw09;9,506429726675256;4016,220479166666;48;0,431903503879289;4785,193;3174,789;304,37768158556526;43,93313409968508
57;21;;bw09;9,996873195634654;4631,977210526317;38;0,42834664664968064;5285,596;4163,678;295,81817780788265;47,988045200307326
58;22;;bw09;10,551841169712002;5441,2314857142865;35;0,42789180964838325;5938,81;4892,938;280,95458086436145;47,48999188059643
59;23;;bw09;11,00410845122984;5997,601560000003;25;0,4158479189611605;6364,003;5419,276;283,63937678254405;56,72787535650881
60;24;;bw09;11,522291717058492;6298,4617727272735;22;0,3803990348030331;6380,527;5904,941;112,21537930457521;23,924399253851977
61;25;;bw09;12,018720575447254;6377,4203;10;0,33938436599736976;6382,599;6370,355;4,081428917807093;1,2906611488346575
62;26;;bw09;12,495127121670826;6366,852600000001;10;0,30152565284750316;6382,474;6346,838;13,603982278076575;4,301956924728809
63;27;;bw09;13,008231506826274;6372,68725;4;0,2674787841920827;6379,691;6358,015;9,940141862669497;4,970070931334749
64;28;;bw09;13,457847943848863;6379,842666666666;3;0,2418269091619408;6385,729;6375,811;5,212631037522012;3,009513932699532
65;7;;se600214;3,1254093510863514;-8,417600000000002;10;-0,025473526406075125;22,858;-53,401;25,069143810225704;7,927559343062514
66;8;;se600214;3,5313014028915197;51,22392592592595;27;0,10747068262509932;99,207;-5,12;31,399787698848595;6,042891960142446
67;9;;se600214;4,010719259671697;142,90019999999998;50;0,20463859885154692;292,741;44,126;52,30235356900436;7,396669776131882
68;10;;se600214;4,5072884740438015;280,8016538461539;104;0,28331861182143053;387,508;134,439;54,31093917466677;5,325625743330321
69;11;;se600214;5,025685190803677;452,0773762376238;101;0,32903980459846843;581,165;227,064;69,3733019649276;6,902901546277069
70;12;;se600214;5,494210994755689;623,1253846153849;117;0,3471210495273917;851,928;416,127;91,81540765071145;8,488337440058173
71;13;;se600214;5,994041086326566;876,9245409836062;122;0,3762050188653848;1104,415;636,479;102,04144640503773;9,23839847753776
72;14;;se600214;6,487992982934926;1165,7585339805826;103;0,39436557406190725;1515,063;819,162;133,19276011155267;13,123872617742606
73;15;;se600214;6,977702700817782;1512,47579661017;59;0,41131311408820875;1850,559;1237,272;153,52400048355682;19,98712243237374
74;16;;se600214;7,467931197528555;1870,0761395348834;43;0,41483928035114237;2387,63;1532,186;167,76930691145955;25,584579449689553
75;17;;se600214;8,036927616552246;2450,064185185184;54;0,4360424775150131;3046,79;1766,288;253,49706305254688;34,496580876270784
76;18;;se600214;8,482255395840408;2899,751888888889;54;0,4389836179207279;3458,57;2414,013;274,63182279640864;37,37265738786946
77;19;;se600214;9,02384179340364;3539,589433333333;60;0,44504095569228935;4199,974;3059,954;234,63263715768906;30,29094320628191
78;20;;se600214;9,49537487624239;4153,906901639345;61;0,4482723174895097;4962,63;3541,544;301,48485555843445;38,60118025272176
79;21;;se600214;9,978302047296776;4792,195886792453;53;0,4456420171185343;5632,157;4110,912;327,2901750358926;44,95676301779535
80;22;;se600214;10,521889131016286;5446,0621875;32;0,43193951832560973;5969,921;4806,631;283,94305166108376;50,194514325088626
81;23;;se600214;10,990013642043117;5985,6457599999985;25;0,41661780260285036;6301,855;5633,346;194,6384064691668;38,92768129383336
82;24;;se600214;11,445533142137691;6265,567818181819;33;0,3860769385753948;6380,486;5918,446;120,55822654361229;20,98649348288802
83;25;;se600214;12,040926623060367;6367,566428571428;7;0,3369886411317744;6379,217;6347,348;12,9067698625843;4,878300469363051
84;26;;se600214;12,492977766872356;6365,4782;10;0,301616184245679;6384,894;6323,487;18,983725713240744;6,003181172974523
85;27;;se600214;12,807465524353304;6364,6982499999995;4;0,2799044090947192;6377,427;6353,217;10,896329821702956;5,448164910851478
86;28;;se600214;13,407068116627086;6370,9963333333335;3;0,2442459746529679;6383,789;6351,936;16,826055281418196;9,71452754612632
87;7;;se600216;3,0348494906875785;-3,6901428571428583;7;-0,012197005336129697;16,567;-46,154;22,92795420026662;8,66595212648347
88;8;;se600216;3,52900427833165;49,05525;20;0,10312179077828736;122,396;0,283;35,76161824737596;7,996540938652952
89;9;;se600216;4,025826533783592;151,33481249999994;80;0,21428668023061892;251,464;46,433;50,81260973098371;5,681022473632344
90;10;;se600216;4,500681487367244;286,72618269230776;104;0,2905721742611772;432,547;109,463;57,58686346589894;5,646856548831194
91;11;;se600216;4,991466310113278;437,9706176470588;102;0,32537340386351754;619,26;293,22;69,24107881729638;6,855888406400027
92;12;;se600216;5,500521323039257;631,7550338983051;118;0,350718488555231;836,929;437,384;79,71371747096968;7,338242500209282
93;13;;se600216;5,98410871142637;862,6934622641509;106;0,37194574128051816;1164,08;683,201;109,49175608324946;10,634779472833017
94;14;;se600216;6,481134016325728;1141,7267934782608;92;0,3874634087684305;1542,674;798,343;129,9335788850595;13,546512033778441
95;15;;se600216;6,978880745002981;1497,945049180328;61;0,4071552676239791;1860,385;1095,946;149,38654918582043;19,12698766169455
96;16;;se600216;7,486263888941125;1879,9231304347825;46;0,41396745886560615;2213,817;1584,556;167,29131649492396;24,665758951739598
97;17;;se600216;8,006626985524873;2382,1480377358494;53;0,42878685853645676;2828,174;2016,861;197,13047105094566;27,077952675028612
98;18;;se600216;8,512763678605827;2933,3564029850745;67;0,4393135603795421;3469,502;2534,131;212,87606200557582;26,006950211979575
99;19;;se600216;8,991492651398275;3468,036626865673;67;0,44076774122037465;4026,434;2829,98;252,30678302096624;30,824179488998308
100;20;;se600216;9,46074836357845;4088,2533571428576;56;0,44604927276951295;4701,365;3522,078;258,5748922474476;34,55352341471208
101;21;;se600216;10,023400837407939;4845,437575757575;33;0,444538332133935;5565,347;4157,219;361,7317895673042;62,969422012536064
102;22;;se600216;10,508584275848337;5507,8026176470585;34;0,43849762058571295;5986,521;4948,555;291,12429890642653;49,927405363056984
103;23;;se600216;11,01880346043815;6028,558958333335;24;0,4163242514644711;6366,674;5575,703;251,62191997198775;51,36210933589948
104;24;;se600216;11,458660296600899;6309,002608695653;23;0,38741879045147015;6380,813;6123,174;95,99444779149701;20,016226033976455
105;25;;se600216;11,947810986782727;6324,844375;8;0,34261495911244966;6381,136;6081,735;101,45405776287883;35,86942611151166
106;26;;se600216;12,443341190035675;6374,316777777777;9;0,3056638799827041;6381,492;6356,286;7,894874710496755;2,6316249034989183
107;27;;se600216;12,894823612997962;6367,048666666667;3;0,27435536636220287;6375,631;6354,329;11,237524030378594;6,48798752396397
108;28;;se600216;13,40532650197311;6358,0844;5;0,24384598408721211;6383,254;6305,485;32,74247272733082;14,64287895394893
